店铺名称,平台来源,店铺年份,店铺评分,店铺评论数量,主营产品,月产能,最小起订量,交货周期,所在地区,认证情况,价格等级,质量等级,爬取时间,合作年限,退货率,准时交货率,出口经验,贸易保障
潮州工厂电子产品有限公司,1688,8年,4.5,"39,266",电子产品,35431件,704件,21天,浙江,"FCC, BSCI, CE",低价,精品,2025-07-23 19:02:01,6年,1.0%,94.5%,,
潮州工厂电子产品制造厂,1688,5年,4.3,"6,444",电子产品,35680件,471件,25天,广东,"BSCI, ISO9001, WRAP",中价,优质,2025-07-23 19:02:01,5年,4.9%,88.1%,,
惠州纺织电子产品企业,1688,19年,4.8,"31,850",电子产品,77557件,463件,18天,山东,"BSCI, WRAP, FCC",高价,精品,2025-07-23 19:02:01,17年,4.2%,91.9%,,
潮州工厂电子产品制造厂,1688,4年,4.3,"37,986",电子产品,10775件,140件,22天,广东,"BSCI, CE, WRAP",中价,标准,2025-07-23 19:02:01,2年,1.0%,96.2%,,
佛山国际电子产品贸易公司,1688,5年,4.2,"8,298",电子产品,44537件,70件,19天,福建,"ISO9001, WRAP, FCC",高价,精品,2025-07-23 19:02:01,1年,3.5%,91.1%,,
深圳优质电子产品集团,1688,20年,4.6,"48,531",电子产品,52342件,548件,12天,江苏,ISO9001,低价,精品,2025-07-23 19:02:01,1年,4.8%,96.0%,,
潮州工厂电子产品有限公司,1688,3年,4.5,"6,176",电子产品,70672件,371件,10天,山东,"ISO9001, CE, BSCI",中价,精品,2025-07-23 19:02:01,1年,1.6%,92.8%,,
江门出口电子产品企业,1688,20年,4.2,"36,206",电子产品,84052件,349件,8天,广东,"CE, WRAP",高价,精品,2025-07-23 19:02:01,4年,3.5%,96.1%,,
深圳优质电子产品有限公司,1688,20年,4.0,"43,678",电子产品,91411件,725件,20天,浙江,"ISO9001, FCC",中价,标准,2025-07-23 19:02:01,12年,1.2%,90.8%,,
中山制造电子产品企业,1688,18年,4.4,"20,876",电子产品,57227件,680件,12天,山东,"CE, FCC, ISO9001",高价,精品,2025-07-23 19:02:01,16年,1.5%,87.2%,,
广州时尚电子产品企业,1688,4年,4.1,"46,365",电子产品,82468件,801件,5天,山东,BSCI,高价,优质,2025-07-23 19:02:01,2年,0.7%,88.7%,,
汕头集团电子产品贸易公司,1688,7年,4.1,"21,902",电子产品,67030件,745件,12天,浙江,ISO9001,低价,优质,2025-07-23 19:02:01,5年,3.9%,96.3%,,
潮州工厂电子产品制造厂,1688,15年,4.0,"38,956",电子产品,59760件,243件,13天,广东,"ISO9001, FCC, BSCI",中价,精品,2025-07-23 19:02:01,3年,4.4%,88.3%,,
"电子产品 Manufacturer Co., Ltd",阿里巴巴,19年,4.8,"43,842",电子产品,154832件,924件,22天,Guangdong,"WRAP, ISO9001, FCC, CE",中价,精品,2025-07-23 19:02:02,9年,2.6%,94.5%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,21年,4.4,"8,002",电子产品,31431件,983件,25天,Shandong,"WRAP, CE",高价,标准,2025-07-23 19:02:02,7年,1.4%,85.4%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,17年,4.9,"3,174",电子产品,188620件,1660件,17天,Guangdong,"CE, BSCI, ISO9001, WRAP",低价,优质,2025-07-23 19:02:02,14年,4.5%,97.2%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,8年,4.7,"21,800",电子产品,161487件,1730件,21天,Jiangsu,"CE, ISO9001, WRAP",中价,标准,2025-07-23 19:02:02,5年,3.2%,86.7%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,11年,4.4,"78,229",电子产品,140915件,482件,12天,Guangdong,"RoHS, CE, FCC, BSCI",中价,标准,2025-07-23 19:02:02,9年,2.5%,90.6%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,9年,4.5,"47,553",电子产品,122733件,390件,13天,Jiangsu,"ISO9001, BSCI",中价,精品,2025-07-23 19:02:02,7年,3.4%,90.5%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,20年,4.9,"62,185",电子产品,186456件,407件,18天,Zhejiang,"CE, ISO9001",高价,标准,2025-07-23 19:02:02,10年,4.4%,85.4%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,19年,4.6,"32,357",电子产品,125051件,1333件,20天,Jiangsu,"FCC, ISO9001, CE",中价,精品,2025-07-23 19:02:02,14年,1.1%,92.5%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,20年,4.2,"34,121",电子产品,69551件,1243件,16天,Zhejiang,"BSCI, ISO9001, CE",高价,优质,2025-07-23 19:02:02,6年,0.8%,93.0%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,23年,4.3,"77,847",电子产品,190375件,1365件,8天,Guangdong,"WRAP, CE, ISO9001",中价,标准,2025-07-23 19:02:02,6年,0.8%,95.0%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,13年,4.6,"74,430",电子产品,44678件,745件,12天,Guangdong,"CE, BSCI, ISO9001, WRAP",中价,优质,2025-07-23 19:02:02,1年,3.5%,89.6%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,23年,4.3,"74,186",电子产品,42807件,1999件,18天,Guangdong,"RoHS, FCC, WRAP",中价,精品,2025-07-23 19:02:02,15年,2.6%,93.9%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,20年,4.3,"59,388",电子产品,118237件,264件,10天,Fujian,"ISO9001, WRAP, CE, FCC",高价,标准,2025-07-23 19:02:02,15年,3.8%,96.3%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,8年,4.5,"67,144",电子产品,127216件,502件,9天,Jiangsu,"ISO9001, CE",高价,精品,2025-07-23 19:02:02,3年,4.2%,91.6%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,6年,4.4,"17,280",电子产品,115323件,612件,30天,Guangdong,"ISO9001, CE, FCC, WRAP",中价,优质,2025-07-23 19:02:02,5年,3.1%,90.8%,是,是
深圳市龙华新区优质电子厂,阿里巴巴,12年,4.8,"28,900",电子产品,100000件,500件,10天,广东深圳,"CE, FCC, RoHS",低价,标准,2025-07-23 19:02:09,8年,1.8%,92.3%,,
中山制造美妆用品有限公司,1688,10年,4.1,"39,923",美妆用品,75680件,922件,10天,广东,"FCC, WRAP",中价,标准,2025-07-23 19:02:04,1年,0.9%,87.0%,,
东莞精品美妆用品制造厂,1688,10年,4.8,"15,734",美妆用品,17521件,205件,12天,福建,ISO9001,低价,精品,2025-07-23 19:02:04,5年,1.3%,87.9%,,
江门出口美妆用品有限公司,1688,14年,5.0,"37,231",美妆用品,37272件,451件,21天,山东,FCC,高价,标准,2025-07-23 19:02:04,9年,1.3%,97.0%,,
深圳优质美妆用品集团,1688,6年,4.8,"16,388",美妆用品,59149件,296件,25天,浙江,"CE, OEKO-TEX, ISO9001",低价,优质,2025-07-23 19:02:04,4年,0.7%,92.7%,,
江门出口美妆用品企业,1688,12年,4.1,"40,860",美妆用品,97120件,437件,15天,广东,"CE, WRAP",中价,标准,2025-07-23 19:02:04,7年,2.6%,92.8%,,
潮州工厂美妆用品有限公司,1688,11年,4.7,"20,965",美妆用品,82831件,366件,20天,广东,"OEKO-TEX, FCC",中价,精品,2025-07-23 19:02:04,9年,4.7%,91.8%,,
惠州纺织美妆用品集团,1688,12年,4.4,"46,222",美妆用品,58379件,698件,24天,广东,"BSCI, WRAP, CE",中价,优质,2025-07-23 19:02:04,11年,2.2%,98.8%,,
广州时尚美妆用品集团,1688,3年,4.8,"21,508",美妆用品,90623件,698件,10天,江苏,OEKO-TEX,中价,精品,2025-07-23 19:02:04,2年,2.4%,89.0%,,
潮州工厂美妆用品工厂,1688,20年,4.9,"10,082",美妆用品,34656件,826件,23天,江苏,"BSCI, OEKO-TEX",高价,精品,2025-07-23 19:02:04,9年,1.6%,90.0%,,
潮州工厂美妆用品制造厂,1688,13年,4.0,"31,428",美妆用品,45195件,653件,14天,浙江,OEKO-TEX,低价,标准,2025-07-23 19:02:04,13年,1.5%,94.7%,,
东莞精品美妆用品企业,1688,19年,4.4,"6,521",美妆用品,70731件,795件,19天,山东,"OEKO-TEX, BSCI, FCC",高价,精品,2025-07-23 19:02:04,4年,1.4%,95.0%,,
惠州纺织美妆用品工厂,1688,10年,4.0,"12,468",美妆用品,63189件,742件,9天,江苏,"ISO9001, FCC, OEKO-TEX",高价,精品,2025-07-23 19:02:04,5年,2.1%,88.9%,,
佛山国际美妆用品有限公司,1688,15年,4.1,"10,924",美妆用品,25520件,342件,9天,广东,"FCC, ISO9001, OEKO-TEX",中价,标准,2025-07-23 19:02:04,11年,4.6%,93.4%,,
潮州工厂美妆用品工厂,1688,15年,4.2,"7,525",美妆用品,68559件,681件,22天,山东,OEKO-TEX,低价,优质,2025-07-23 19:02:04,7年,4.1%,94.3%,,
潮州工厂美妆用品有限公司,1688,16年,5.0,"8,416",美妆用品,87431件,568件,14天,福建,"ISO9001, WRAP, OEKO-TEX",高价,标准,2025-07-23 19:02:04,10年,2.0%,89.0%,,
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,16年,4.9,"41,232",美妆用品,24950件,1780件,22天,Zhejiang,"FCC, RoHS",高价,精品,2025-07-23 19:02:05,10年,4.8%,93.9%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,22年,4.9,"73,820",美妆用品,19728件,305件,28天,Guangdong,"BSCI, RoHS",中价,标准,2025-07-23 19:02:05,3年,4.6%,96.0%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,22年,4.6,"4,357",美妆用品,119919件,1329件,9天,Shandong,"BSCI, CE, ISO9001",高价,优质,2025-07-23 19:02:05,16年,0.7%,85.7%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,13年,4.8,"44,114",美妆用品,68522件,860件,7天,Zhejiang,"CE, WRAP",低价,标准,2025-07-23 19:02:05,5年,2.7%,96.2%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,16年,4.4,"61,096",美妆用品,110555件,1171件,30天,Zhejiang,"RoHS, CE",高价,精品,2025-07-23 19:02:05,15年,2.6%,85.7%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,16年,4.8,"41,910",美妆用品,23160件,1640件,16天,Jiangsu,"WRAP, ISO9001, BSCI",中价,标准,2025-07-23 19:02:05,13年,3.7%,87.8%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,9年,4.4,"45,338",美妆用品,76529件,1172件,30天,Zhejiang,"FCC, CE, WRAP, RoHS",中价,精品,2025-07-23 19:02:05,9年,0.6%,91.2%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,9年,4.3,"69,906",美妆用品,128148件,177件,11天,Guangdong,"ISO9001, CE, FCC, RoHS",中价,精品,2025-07-23 19:02:05,3年,4.3%,96.9%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,25年,5.0,"37,695",美妆用品,172101件,1729件,30天,Zhejiang,"BSCI, RoHS, CE",中价,精品,2025-07-23 19:02:05,22年,3.9%,95.7%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,12年,4.9,"67,621",美妆用品,26930件,739件,28天,Fujian,"WRAP, BSCI",中价,优质,2025-07-23 19:02:05,8年,1.0%,87.8%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,15年,4.2,"7,023",美妆用品,85860件,1640件,16天,Jiangsu,"BSCI, RoHS",低价,优质,2025-07-23 19:02:05,12年,2.7%,89.7%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,17年,4.3,"15,498",美妆用品,49304件,1020件,23天,Fujian,"CE, FCC, BSCI, RoHS",高价,精品,2025-07-23 19:02:05,11年,2.1%,98.1%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,18年,5.0,"16,565",美妆用品,185275件,425件,25天,Guangdong,"RoHS, FCC, WRAP, BSCI",高价,精品,2025-07-23 19:02:05,14年,3.3%,94.2%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,20年,4.4,"29,765",美妆用品,118024件,1305件,7天,Zhejiang,"ISO9001, BSCI, WRAP, RoHS",中价,精品,2025-07-23 19:02:05,14年,1.0%,93.7%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,20年,4.4,"67,582",美妆用品,78876件,726件,26天,Shandong,"RoHS, CE, FCC, ISO9001",高价,优质,2025-07-23 19:02:05,18年,1.5%,90.9%,是,是
东莞精品家居用品制造厂,1688,18年,4.6,"18,880",家居用品,56244件,482件,10天,山东,"ISO9001, BSCI, OEKO-TEX",低价,精品,2025-07-23 19:02:07,4年,4.3%,87.1%,,
惠州纺织家居用品有限公司,1688,5年,4.3,"34,559",家居用品,29602件,496件,24天,浙江,"FCC, BSCI, WRAP",高价,优质,2025-07-23 19:02:07,5年,1.6%,92.6%,,
惠州纺织家居用品集团,1688,12年,4.4,"38,393",家居用品,97636件,661件,18天,福建,BSCI,高价,优质,2025-07-23 19:02:07,11年,4.4%,94.4%,,
广州时尚家居用品有限公司,1688,13年,4.2,"33,969",家居用品,96136件,663件,7天,浙江,"FCC, BSCI, WRAP",低价,优质,2025-07-23 19:02:07,11年,3.7%,90.0%,,
广州时尚家居用品有限公司,1688,18年,4.6,"33,889",家居用品,19680件,752件,20天,广东,FCC,中价,优质,2025-07-23 19:02:07,2年,4.0%,98.0%,,
深圳优质家居用品贸易公司,1688,18年,4.3,"49,680",家居用品,99743件,411件,25天,广东,"CE, WRAP",中价,精品,2025-07-23 19:02:07,7年,3.4%,89.9%,,
深圳优质家居用品集团,1688,3年,4.6,"41,744",家居用品,58578件,699件,25天,福建,"WRAP, ISO9001, BSCI",低价,标准,2025-07-23 19:02:07,1年,4.8%,86.0%,,
珠海设计家居用品企业,1688,19年,4.2,"37,546",家居用品,45540件,141件,21天,山东,"WRAP, BSCI, FCC",高价,优质,2025-07-23 19:02:07,17年,0.9%,88.6%,,
广州时尚家居用品贸易公司,1688,9年,4.1,"6,979",家居用品,68887件,474件,16天,山东,"WRAP, BSCI, OEKO-TEX",高价,精品,2025-07-23 19:02:07,2年,3.2%,97.4%,,
惠州纺织家居用品有限公司,1688,4年,4.7,"34,348",家居用品,46707件,532件,22天,福建,"BSCI, WRAP",高价,精品,2025-07-23 19:02:07,1年,2.0%,88.9%,,
深圳优质家居用品制造厂,1688,5年,4.7,"11,885",家居用品,77771件,572件,14天,江苏,"CE, BSCI, ISO9001",高价,优质,2025-07-23 19:02:07,3年,1.0%,92.8%,,
潮州工厂家居用品工厂,1688,16年,4.3,"8,465",家居用品,59401件,758件,10天,广东,BSCI,中价,优质,2025-07-23 19:02:07,3年,3.7%,90.0%,,
汕头集团家居用品贸易公司,1688,14年,4.4,"30,386",家居用品,73231件,310件,18天,江苏,ISO9001,低价,优质,2025-07-23 19:02:07,14年,3.1%,86.1%,,
东莞精品家居用品贸易公司,1688,14年,4.5,"29,863",家居用品,7414件,167件,22天,浙江,"WRAP, BSCI, CE",中价,标准,2025-07-23 19:02:07,12年,1.1%,96.2%,,
潮州工厂家居用品制造厂,1688,14年,4.7,"48,937",家居用品,20642件,633件,20天,广东,"WRAP, CE, OEKO-TEX",中价,标准,2025-07-23 19:02:07,2年,3.7%,90.0%,,
"家居用品 Manufacturer Co., Ltd",阿里巴巴,16年,4.2,"9,418",家居用品,51396件,801件,18天,Guangdong,"RoHS, CE",高价,优质,2025-07-23 19:02:08,2年,5.0%,85.1%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,18年,4.2,"37,137",家居用品,108198件,1865件,8天,Zhejiang,"RoHS, BSCI, CE, WRAP",高价,优质,2025-07-23 19:02:08,5年,2.8%,95.4%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,23年,4.4,"39,935",家居用品,160754件,942件,8天,Fujian,"RoHS, CE, ISO9001, FCC",高价,精品,2025-07-23 19:02:08,11年,4.7%,88.0%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,21年,4.9,"56,175",家居用品,15691件,1511件,15天,Fujian,"FCC, BSCI, RoHS, WRAP",低价,标准,2025-07-23 19:02:08,10年,4.3%,93.7%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,7年,4.3,"67,990",家居用品,148461件,719件,10天,Fujian,"BSCI, FCC, ISO9001, CE",中价,精品,2025-07-23 19:02:08,3年,3.5%,89.8%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,7年,4.8,"25,675",家居用品,18105件,307件,9天,Fujian,"CE, BSCI, FCC",高价,标准,2025-07-23 19:02:08,6年,4.8%,86.1%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,22年,4.5,"48,702",家居用品,184984件,1000件,15天,Zhejiang,"CE, WRAP, ISO9001, BSCI",低价,精品,2025-07-23 19:02:08,5年,4.4%,89.8%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,14年,4.6,"30,630",家居用品,19727件,1484件,12天,Zhejiang,"RoHS, FCC, WRAP, CE",高价,标准,2025-07-23 19:02:08,9年,0.7%,90.5%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,15年,4.4,"15,802",家居用品,118710件,862件,14天,Zhejiang,"ISO9001, WRAP",高价,标准,2025-07-23 19:02:08,15年,1.2%,94.3%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,25年,4.6,"61,336",家居用品,84365件,1995件,20天,Jiangsu,"RoHS, BSCI, WRAP",高价,优质,2025-07-23 19:02:08,19年,2.3%,97.7%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,8年,4.3,"64,983",家居用品,191160件,1955件,26天,Zhejiang,"ISO9001, WRAP",低价,标准,2025-07-23 19:02:08,3年,3.2%,85.6%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,15年,5.0,"70,890",家居用品,50815件,1555件,17天,Guangdong,"WRAP, CE",中价,优质,2025-07-23 19:02:08,8年,3.6%,90.3%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,16年,4.3,"56,243",家居用品,146736件,1587件,10天,Fujian,"BSCI, FCC",高价,精品,2025-07-23 19:02:08,14年,3.6%,87.0%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,20年,4.6,"18,601",家居用品,145620件,1906件,28天,Fujian,"ISO9001, BSCI, RoHS, CE",高价,精品,2025-07-23 19:02:08,4年,4.6%,95.2%,是,是
"家居用品 Manufacturer Co., Ltd",阿里巴巴,10年,4.3,"66,110",家居用品,91919件,401件,26天,Zhejiang,"RoHS, WRAP",中价,精品,2025-07-23 19:02:08,4年,5.0%,94.0%,是,是
义乌市小商品批发中心,1688,15年,4.5,"45,200",家居用品,80000件,200件,5天,浙江义乌,ISO9001,低价,标准,2025-07-23 19:02:09,3年,5.0%,95.9%,,
